,MAE,MAPE,RMSE,R2,MAE,MAPE,RMSE,R2,MAE,MAPE,RMSE,R2,MAE,MAPE,RMSE,R2,MAE,MAPE,RMSE,R2,MAE,MAPE,RMSE,R2,MAE,MAPE,RMSE,R2,MAE,MAPE,RMSE,R2,MAE,MAPE,RMSE,R2,MAE,MAPE,RMSE,R2
0,32.25074387,0.347601265,34.35871506,0.159272432,25.43183136,0.307423711,28.05902863,0.439304927,12.36757278,0.140740499,14.22360039,0.855921045,19.42057037,0.209959567,21.14418411,0.681607146,7.410878181,0.072210938,9.820103645,0.931322642,20.78588676,0.215790346,25.16267967,0.54908445,27.02641036,0.579307138,30.08591709,0.355373766,29.66412354,0.32435739,31.06100655,0.312911723,9.560635811,0.436855657,12.61475428,0.886671522,7.813075066,0.076362222,10.57857895,0.920304069
1,31.88194847,0.344686985,34.02817535,0.189474213,21.55984306,0.228847086,23.78821754,0.603892214,13.32125854,0.113312446,23.11646652,0.62594766,19.47000313,0.210732326,21.25061798,0.683894091,11.22910595,0.106546156,14.87209988,0.845177483,12.32505894,0.117926329,15.77403641,0.825829244,27.82652787,0.576271426,30.41574135,0.352430593,32.04815292,0.3401995,33.68151474,0.205904621,14.80090139,0.37675937,21.14821997,0.686933103,8.548243523,0.081473105,11.1762228,0.912566156
2,32.07143784,0.345931709,34.18572235,0.171107688,21.91625786,0.240684405,26.84178352,0.488987701,10.81490231,0.10872183,14.07702541,0.859450155,19.22937775,0.207741454,20.94634819,0.688810281,11.84062195,0.110659383,15.78690815,0.82323235,15.80566692,0.135355458,22.63726997,0.636539965,28.17531387,0.577572835,31.13665377,0.312373699,29.3876667,0.314661592,30.75197792,0.329259226,12.20418306,0.354274752,17.30314303,0.787646902,7.290159702,0.069708094,10.46971893,0.922253894
3,32.13682938,0.345452249,34.17353439,0.152991549,36.51210403,0.333067387,47.30534744,-0.623036676,12.69771576,0.134281918,15.3919611,0.828171257,19.04244232,0.20630981,20.77646637,0.686922899,7.580169201,0.076396145,9.45527935,0.935157963,16.15132332,0.159042507,21.23728561,0.672880895,27.29883137,0.574435254,30.57498493,0.321983252,29.47733688,0.311511368,30.9828949,0.303771311,15.63040797,0.408962416,26.49512305,0.490856973,8.092285156,0.078174658,10.56562138,0.919034873
4,31.96883392,0.344265372,34.09053421,0.180143279,18.33634186,0.184122413,24.04734421,0.592052252,8.178837776,0.0692866,15.92450237,0.821103436,18.89909744,0.203955367,20.60441208,0.700504157,6.870755196,0.063714214,10.40067101,0.923687975,7.661305428,0.073189147,11.04169559,0.913991403,27.22873603,0.578734824,30.30067653,0.352298412,29.37773323,0.319806278,30.74554443,0.333140022,9.503132665,0.4577466,13.65714837,0.868419853,6.634068012,0.060242366,11.11618614,0.912827004
5,32.07064819,0.344473869,34.15794373,0.171126073,13.98869228,0.165177703,16.96699333,0.79548988,11.76352596,0.137771487,15.23021698,0.835215162,18.93497658,0.204308808,20.66632271,0.696588912,13.59584141,0.132902771,16.78813934,0.799778766,8.746855736,0.091170065,11.92436123,0.898987453,26.62012095,0.576180899,30.18242831,0.352837407,29.05286407,0.304736495,30.91149902,0.32119477,18.67239752,0.376832951,29.32741032,0.388984143,7.778259754,0.075485922,10.40525532,0.923085094
6,32.00852203,0.345151782,34.11820221,0.180086684,12.36910343,0.125110582,17.88921738,0.774587363,11.90691566,0.119983561,16.77711296,0.801742315,18.93392944,0.204907641,20.64323235,0.69984127,10.13420391,0.093114384,14.29018211,0.856162832,9.080071449,0.086500198,13.70135784,0.867772179,27.48092764,0.590116449,30.8836092,0.32818189,29.56944466,0.322680831,30.87535095,0.32854117,18.88690207,0.485901482,25.64004279,0.536944442,7.061306,0.065297127,10.94234753,0.915663281
7,32.13376999,0.346493214,34.25503922,0.168914658,11.73870468,0.111482888,17.28528214,0.78838338,17.52435684,0.189280346,19.26932144,0.737015851,19.2856884,0.208711952,21.04063797,0.686444435,7.470286369,0.068429075,11.05609226,0.913423502,8.665247917,0.074715465,13.7132864,0.866807496,27.23678048,0.578304337,30.02821752,0.361360376,30.16504478,0.324922204,31.48075485,0.298080956,12.97032179,0.412540821,20.29915492,0.708154723,7.916907787,0.078478448,10.15609264,0.926944975
8,32.01436615,0.345457226,34.14326859,0.177217779,15.53495407,0.139920712,20.5119915,0.703045204,10.66778755,0.103692859,15.94822216,0.820485623,19.3281498,0.20914638,21.07495117,0.686521457,9.689255714,0.093224615,13.15038967,0.877946025,12.65054321,0.110236935,18.32454681,0.763003911,27.59267629,0.578557969,30.37947565,0.348618757,28.70426941,0.306734174,30.65962601,0.336549722,14.1612026,0.478422986,24.72559266,0.568512596,7.694851398,0.073936313,10.49060154,0.922326049
9,32.08865356,0.345996916,34.19930267,0.173368868,9.628778458,0.088424027,17.24023247,0.789930258,9.894158363,0.095798358,14.1085577,0.859316725,19.10011864,0.206227049,20.76534653,0.695241678,11.35847569,0.102639198,15.72024155,0.8253391,7.798816204,0.074166082,11.79361248,0.901696067,27.07362402,0.568299921,30.02728453,0.362750726,30.38312912,0.330512077,31.59815979,0.294331427,11.67041715,0.413471715,16.91193138,0.797854701,7.303296089,0.070084766,10.37007713,0.923995169
