,MAE,MAPE,RMSE,R2,MAE,MAPE,RMSE,R2,MAE,MAPE,RMSE,R2,MAE,MAPE,RMSE,R2,MAE,MAPE,RMSE,R2,MAE,MAPE,RMSE,R2,MAE,MAPE,RMSE,R2,MAE,MAPE,RMSE,R2,MAE,MAPE,RMSE,R2,MAE,MAPE,RMSE,R2
0,23.69920158,0.185070574,24.56352806,0.613694852,20.22883224,0.178532496,23.82278061,0.636642691,11.08813858,0.09301082,13.98048019,0.87486086,13.00048542,0.105353467,13.90297794,0.876244456,5.698953152,0.048386976,6.968525887,0.968909277,13.42282581,0.098104268,16.68075943,0.821852129,21.47851853,0.384945437,23.303137,0.652321545,28.53332901,0.231958777,29.3710022,0.447685412,8.968277901,0.360324351,10.84559299,0.924689487,4.897191525,0.040282313,6.159480572,0.975709459
1,23.69370079,0.184726849,24.54657364,0.612307744,25.15955925,0.177273422,31.45253181,0.363473388,19.35459137,0.144416198,24.03372574,0.628338518,12.88363838,0.104457177,13.80992413,0.877287746,16.58366966,0.124393918,17.97711563,0.792056508,8.27310276,0.068012178,11.18652058,0.919481546,23.33076154,0.387593108,25.33869566,0.586882253,28.11664963,0.223769113,29.20602417,0.451154358,15.02902396,0.355978967,22.30741232,0.679812973,3.568868637,0.031036563,4.529678345,0.98679799
2,23.68607521,0.184732765,24.53379822,0.612789332,11.53917027,0.097090989,13.6538868,0.880069303,19.33572197,0.164826438,22.74476814,0.667202015,12.91149998,0.104752786,13.81786251,0.877171414,7.754603863,0.0615701,9.17784977,0.945812443,8.346593857,0.066351771,9.66116333,0.939955035,23.57205942,0.381275226,25.33982999,0.586928614,28.17531776,0.225348771,29.00231361,0.458893187,15.66311543,0.366715796,22.1769105,0.683612144,4.641405582,0.036097717,5.874586582,0.977799012
3,23.54658699,0.183908015,24.40784264,0.614957964,17.64305305,0.143177494,22.42201042,0.675063448,29.32633209,0.223805919,34.47576523,0.231794778,12.84352398,0.10420879,13.77152157,0.877421779,9.539132118,0.071178697,11.39944172,0.916012132,21.43647766,0.196062759,25.6933403,0.573331481,22.74305416,0.385320908,24.45190876,0.613566335,27.51705551,0.217389047,28.87397766,0.461156505,12.71198502,0.390140338,17.22757987,0.808178199,5.154932499,0.044538945,6.412786007,0.973420738
4,23.67818069,0.184556603,24.53024292,0.610730704,28.78228378,0.237341493,34.06053162,0.249502429,14.20725346,0.115378752,19.95012093,0.742523582,13.12318039,0.106032737,14.04668236,0.872357884,10.50919437,0.076496795,13.14888096,0.888153067,16.74996376,0.137567773,19.05285454,0.765163023,23.39219099,0.385651716,25.12010133,0.591784766,28.0061779,0.22117205,29.17999268,0.449171026,16.61969621,0.376507625,21.78896806,0.692871755,4.250140667,0.034803867,5.33440733,0.981591487
5,23.72898865,0.185160831,24.57174492,0.610293517,21.91540909,0.184049651,30.73829269,0.390147028,11.1098032,0.088923015,14.18592834,0.870108358,13.68668175,0.111057989,14.62806416,0.861885455,28.99998665,0.226157665,29.88677597,0.423467468,6.629141331,0.053141464,8.524918556,0.95309208,23.45974738,0.384559411,25.26895679,0.587864232,28.23487854,0.226484999,29.43130875,0.440905999,11.53931655,0.366164247,13.54545686,0.881572381,5.266037464,0.043712843,6.323522568,0.974190249
6,23.65584373,0.183978379,24.53223228,0.616030287,22.13860703,0.168257385,25.60073853,0.581854114,22.8060112,0.219058052,25.77498627,0.576142632,14.66441059,0.119971715,15.60833073,0.844569663,14.80422688,0.106465995,17.39311028,0.806991093,15.8120842,0.125872374,19.5557766,0.756009478,24.05411944,0.392808576,26.00187133,0.568647756,27.86286926,0.220256284,28.84149551,0.469288607,15.33304403,0.401914002,20.36984383,0.735272992,5.040822506,0.044320196,6.394935131,0.973908733
7,23.58446503,0.184318498,24.44215965,0.613530429,21.18694496,0.167670622,25.52518463,0.578522956,11.69445324,0.092388071,14.09235096,0.871529614,12.8353014,0.104476385,13.7764082,0.877225513,15.30337429,0.111933604,17.21673965,0.808248867,6.48003912,0.056287281,7.899168015,0.959635566,22.99801752,0.387128897,24.61934983,0.607906816,27.32075119,0.216070727,28.47487259,0.475482794,14.89035005,0.354927614,21.51261596,0.700620139,4.432717323,0.040307678,5.58206892,0.979842971
8,23.59430122,0.184059829,24.47514343,0.619198328,22.02482224,0.17717652,30.90452385,0.392854896,17.38883972,0.144257843,19.20892143,0.765439819,14.18530178,0.11148338,15.07689381,0.855498587,5.591524601,0.048331019,6.62731266,0.972079495,14.91659927,0.121156625,18.11696434,0.791349581,23.69246333,0.399036573,25.53315438,0.585564174,27.82392883,0.219462231,29.32414627,0.453362894,13.20944686,0.3571157,18.69961726,0.777713143,3.959720373,0.036862426,5.600147724,0.980063575
9,23.73646927,0.185100481,24.60105896,0.612493286,21.38507271,0.17679584,24.86716843,0.604064656,18.94908714,0.157020763,22.84174919,0.665935424,13.00303173,0.105241016,13.91796684,0.875970999,12.50143051,0.085464135,16.86467171,0.817892665,5.808161736,0.044286527,7.471842766,0.964254036,22.26050603,0.390450832,24.21659203,0.62451059,27.9258194,0.220846593,29.00179482,0.461455714,19.69206995,0.327568723,25.85313101,0.572045166,4.110881805,0.034664489,5.377287388,0.981486089
