,MAE,MAPE,RMSE,R2,MAE,MAPE,RMSE,R2,MAE,MAPE,RMSE,R2,MAE,MAPE,RMSE,R2,MAE,MAPE,RMSE,R2,MAE,MAPE,RMSE,R2,MAE,MAPE,RMSE,R2,MAE,MAPE,RMSE,R2,MAE,MAPE,RMSE,R2,MAE,MAPE,RMSE,R2
0,0.055844203,0.037076142,0.060644709,0.898523302,0.097215034,0.058801688,0.130397096,0.530845005,0.060596127,0.0388005,0.068888403,0.869059895,0.05520241,0.032727215,0.0863114,0.794450328,0.038357411,0.022252191,0.058829091,0.904508486,0.070440114,0.043267932,0.080848411,0.819646936,0.041915618,0.146636881,0.084161276,0.804563762,0.070205048,0.04664585,0.082949184,0.810152575,0.072030048,0.14624347,0.083020939,0.810669879,0.032936204,0.019658098,0.044564351,0.945203147
1,0.057356708,0.038384721,0.062288169,0.893676156,0.091036253,0.060784481,0.101035424,0.720252099,0.15290843,0.094832294,0.178291798,0.128871436,0.067269199,0.045423809,0.074949726,0.846057119,0.048237458,0.03218434,0.0526556,0.924018362,0.036973812,0.0241722,0.041445401,0.952926968,0.135660759,0.143902257,0.256588668,-0.804240637,0.170859173,0.112314746,0.1973176,-0.066967451,0.05394553,0.16459416,0.065574977,0.882624278,0.035839435,0.021850573,0.048059549,0.936703621
2,0.05703219,0.038047481,0.061956797,0.894488403,0.143598989,0.088256583,0.191970661,-0.012959425,0.14767012,0.097719602,0.153888822,0.349066753,0.085817128,0.058772508,0.097534068,0.738522077,0.05091425,0.032632627,0.055694953,0.914738305,0.027469756,0.016118865,0.043440171,0.94813131,0.045262404,0.143447571,0.085451109,0.799295229,0.169848025,0.114436164,0.193494782,-0.193494782,0.066004605,0.137627017,0.08716836,0.791957844,0.035536591,0.02478697,0.047895413,0.936946367
3,0.055802885,0.037138801,0.060674615,0.896985703,0.10754972,0.065939456,0.135108724,0.489200732,0.037329528,0.023623889,0.053421102,0.920143712,0.05551368,0.036987789,0.062979072,0.889012005,0.056583855,0.037457362,0.060690269,0.896932528,0.055419981,0.036544427,0.059987392,0.899306043,0.04692283,0.145673091,0.085676288,0.794597966,0.071151949,0.046298359,0.077165879,0.833377345,0.045779289,0.147925788,0.069895998,0.863900115,0.049020048,0.031587906,0.057021879,0.90901568
4,0.055424757,0.036892522,0.060228638,0.902539058,0.0987987,0.060560104,0.125054762,0.579830004,0.236701474,0.154790163,0.238865778,-0.532965644,0.06900987,0.042189129,0.08385618,0.811072736,0.037989549,0.022229936,0.056954354,0.912847789,0.069238991,0.043225009,0.078168944,0.835830329,0.164903252,0.151659624,0.275507475,-1.039347717,0.146444544,0.095764577,0.164573535,0.272313216,0.064693497,0.134452031,0.085230008,0.805629013,0.029599903,0.017836511,0.04175885,0.953148704
5,0.055650663,0.036999676,0.060326487,0.902367462,0.087408736,0.051748216,0.13601473,0.503693007,0.056772135,0.033596307,0.072411776,0.859331505,0.078264393,0.047047291,0.097143546,0.746833417,0.055168509,0.031661037,0.078777216,0.833513193,0.070504852,0.044329602,0.082350098,0.818069007,0.144248657,0.149426396,0.264179091,-0.872299761,0.14151831,0.094266616,0.17287074,0.198282248,0.063855157,0.14263634,0.071248259,0.864379966,0.05023602,0.030955886,0.058410533,0.908470555
6,0.055948801,0.037222572,0.060730848,0.898236953,0.073270425,0.04516542,0.092769615,0.762544076,0.037408937,0.023744004,0.046739727,0.939724077,0.05490705,0.035382088,0.05941521,0.902598268,0.044768002,0.029378876,0.049466424,0.932486206,0.038716566,0.025090951,0.043107294,0.948728869,0.135118633,0.143851732,0.252717869,-0.762151965,0.065108635,0.039297283,0.089816123,0.777423092,0.068098173,0.162786,0.088886432,0.782969167,0.03425286,0.020064948,0.047782812,0.937003721
7,0.056534141,0.037439127,0.061124466,0.895807205,0.099191487,0.059617955,0.143644482,0.424579448,0.093119413,0.06070007,0.096978225,0.737725596,0.046383616,0.028438803,0.062633514,0.890599047,0.038647201,0.023546644,0.055060003,0.915456556,0.046820868,0.029120566,0.062915027,0.889613438,0.042616113,0.146696715,0.085105549,0.798013089,0.069914974,0.043761194,0.080085076,0.821141063,0.033331936,0.13845228,0.040942224,0.953470421,0.030931281,0.018719042,0.044367861,0.945103533
8,0.055593152,0.037003078,0.060538601,0.898285703,0.145821676,0.088493325,0.196518451,-0.071824952,0.096501149,0.057990782,0.121696778,0.588968292,0.058196235,0.034980115,0.080886379,0.818420049,0.068261355,0.040689133,0.085738495,0.795981766,0.135617435,0.083897829,0.146060467,0.407917082,0.045462224,0.143410985,0.084786909,0.800485342,0.158411145,0.106714755,0.184995055,0.0501885,0.043702796,0.152081678,0.053434829,0.921088634,0.043376025,0.026715059,0.052111659,0.924631997
9,0.05663278,0.037792485,0.061444975,0.898167605,0.131694764,0.091187708,0.156362087,0.340558728,0.086289778,0.058908328,0.0968071,0.747228798,0.078622296,0.052649681,0.085390143,0.803334268,0.047414549,0.031278439,0.051234648,0.92919879,0.036568724,0.022081852,0.048938002,0.935403993,0.044744934,0.149892331,0.082936669,0.81447332,0.114607967,0.074642815,0.122481346,0.595374647,0.048259117,0.131441341,0.062931164,0.893595047,0.029272044,0.018820452,0.032655701,0.971237199
