,MAE,MAPE,RMSE,R2,MAE,MAPE,RMSE,R2,MAE,MAPE,RMSE,R2,MAE,MAPE,RMSE,R2,MAE,MAPE,RMSE,R2,MAE,MAPE,RMSE,R2,MAE,MAPE,RMSE,R2,MAE,MAPE,RMSE,R2,MAE,MAPE,RMSE,R2,MAE,MAPE,RMSE,R2
0,0.110826857,0.073485568,0.117078751,0.619612493,0.087443843,0.052479003,0.115295917,0.631109139,0.11035832,0.06989646,0.121307671,0.591636797,0.084208727,0.05195054,0.091595359,0.767181776,0.055936094,0.03438779,0.061970934,0.89342726,0.048740014,0.031543907,0.052042536,0.924839961,0.1219366,0.140949401,0.179044782,0.110402841,0.115240194,0.076763406,0.131189346,0.522396793,0.023942886,0.136465284,0.03252808,0.964258344,0.051391035,0.033428501,0.056329429,0.911947696
1,0.109763391,0.072871007,0.11618077,0.621880029,0.10278704,0.064067706,0.122324675,0.580830888,0.126141593,0.078530632,0.140670314,0.445672926,0.075695962,0.046411376,0.085039787,0.797415872,0.066686995,0.04080886,0.076148443,0.837563665,0.071299307,0.043142695,0.082909189,0.807439823,0.138541641,0.143120619,0.189576183,-0.006766352,0.063397355,0.043052945,0.074098781,0.846190473,0.032176035,0.142783692,0.040217111,0.959273485,0.028072344,0.017499352,0.033360049,0.96882442
2,0.111560687,0.074072383,0.117832765,0.619531849,0.093623668,0.058809869,0.112419248,0.653688061,0.04228206,0.026028026,0.056572922,0.912299231,0.069674082,0.043790545,0.075169057,0.845166701,0.054741945,0.033803295,0.063588433,0.889199339,0.050172374,0.031519197,0.056630544,0.912120494,0.076719854,0.137167835,0.10141418,0.718172422,0.087667517,0.057203688,0.095709667,0.74898614,0.035460565,0.14519697,0.041401129,0.97310243,0.038310301,0.024008295,0.045227613,0.9439477
3,0.110088497,0.072838001,0.116203174,0.620586634,0.07589598,0.046630971,0.091861606,0.762892835,0.134405896,0.084959701,0.150859445,0.360527885,0.087886214,0.052943017,0.101114258,0.712722634,0.072421812,0.04333492,0.085027374,0.796860595,0.060820233,0.037754726,0.066247262,0.876685974,0.080837091,0.136878961,0.113831731,0.635914559,0.09209808,0.062572904,0.111013852,0.65371711,0.030177857,0.143199429,0.039032684,0.923700699,0.031370409,0.019770786,0.039832614,0.955418542
4,0.111447252,0.073828414,0.117552601,0.617787075,0.10605932,0.065989472,0.13683778,0.48209155,0.137458265,0.08224763,0.175081551,0.152144898,0.065041594,0.040153157,0.071571544,0.858315752,0.052594215,0.03275229,0.056589123,0.911425883,0.044269428,0.028705347,0.047353067,0.937979242,0.071022618,0.137381372,0.092335558,0.764180972,0.13710615,0.088685937,0.138932049,0.466117432,0.032582212,0.14212362,0.041218105,0.949622886,0.025336403,0.017452639,0.031882841,0.971883908
5,0.109183788,0.07225582,0.115486294,0.630331122,0.114439592,0.070046261,0.158231795,0.306031755,0.051040661,0.03036423,0.067799874,0.872588153,0.092863902,0.055324197,0.110008575,0.664567536,0.092258327,0.056691758,0.101242542,0.715895472,0.05512961,0.033545069,0.062378477,0.892149643,0.07748979,0.136695193,0.108911773,0.671222784,0.095232174,0.065601297,0.112450905,0.649508112,0.031032803,0.141360297,0.036386276,0.92925807,0.023180498,0.014551688,0.029361287,0.976105266
6,0.112884521,0.075165719,0.119068459,0.61049626,0.085941993,0.052601911,0.105452821,0.69448356,0.121017285,0.08357574,0.143962666,0.430599344,0.063867182,0.04448922,0.08194311,0.815522657,0.044201415,0.030107571,0.055655576,0.914898825,0.035634663,0.022813454,0.039365571,0.957425328,0.146527709,0.146897349,0.195416415,-0.049156473,0.058347218,0.039229143,0.065686002,0.881460305,0.048254991,0.138029463,0.058789301,0.905429596,0.037352555,0.024694605,0.045672193,0.942691132
7,0.109942853,0.072777487,0.116220407,0.62440971,0.06766443,0.045529407,0.078863494,0.827057553,0.113400854,0.07374002,0.126655832,0.553933203,0.092160128,0.055808898,0.10430301,0.697487558,0.074463621,0.045462929,0.085646324,0.796029644,0.050215296,0.031757593,0.054079853,0.918675647,0.075464154,0.136602407,0.098507354,0.73017208,0.130909309,0.090728514,0.161820441,0.271857675,0.03610452,0.144715147,0.037669347,0.94046907,0.045295496,0.029350931,0.051778819,0.925448929
8,0.108226798,0.071514755,0.114528313,0.627832116,0.123343959,0.076597154,0.14975135,0.363710559,0.056025263,0.035699029,0.067263648,0.871626903,0.101085357,0.061127651,0.114562921,0.627607161,0.06829083,0.041349929,0.078935698,0.823209012,0.058355827,0.036755718,0.062838241,0.887963051,0.07553812,0.134466698,0.099312786,0.720151148,0.098567456,0.068290286,0.134584382,0.486071701,0.036628162,0.147567239,0.038975543,0.956302724,0.034279078,0.021921108,0.038141258,0.958723462
9,0.110204212,0.073296845,0.116758682,0.620065433,0.087821431,0.054605015,0.119452938,0.60232886,0.122541063,0.074516423,0.148242563,0.387542062,0.074492149,0.046053253,0.081672937,0.814096845,0.066394441,0.039902236,0.077920355,0.830787564,0.084906101,0.051216464,0.098373197,0.730298094,0.141213399,0.144786381,0.190901071,-0.01565726,0.055031873,0.037347924,0.065774709,0.879427478,0.046428433,0.138062228,0.05035737,0.929634078,0.025037428,0.015518913,0.030388433,0.974263643
