,MAE,MAPE,RMSE,R2,MAE,MAPE,RMSE,R2,MAE,MAPE,RMSE,R2,MAE,MAPE,RMSE,R2,MAE,MAPE,RMSE,R2,MAE,MAPE,RMSE,R2,MAE,MAPE,RMSE,R2,MAE,MAPE,RMSE,R2,MAE,MAPE,RMSE,R2
0,0.075381525,0.046457086,0.08402057,0.727599938,0.050450802,0.030721664,0.05526768,0.882136752,0.042421442,0.027723938,0.05307132,0.891318484,0.087699309,0.054908108,0.098563805,0.62513849,0.087835796,0.054535218,0.094338015,0.656592765,0.073082678,0.045581579,0.080164611,0.75202876,0.116870068,0.146212256,0.149313717,0.139728865,0.140060082,0.090711154,0.161105275,-0.001510348,0.034617648,0.020699473,0.041266624,0.93428964
1,0.077507757,0.047730658,0.086109258,0.714497927,0.177429169,0.112315029,0.205946624,-0.633122864,0.175756082,0.111995772,0.19686304,-0.492237373,0.086291119,0.053959493,0.096776962,0.639376904,0.066072427,0.040313959,0.077076703,0.771252783,0.082396835,0.048987951,0.095060669,0.652054451,0.120689414,0.152244033,0.151901671,0.111546652,0.143744677,0.089456737,0.168481633,-0.092986089,0.027171057,0.016887121,0.030450514,0.964297488
2,0.074593946,0.045860093,0.083192602,0.735413472,0.050050929,0.030290935,0.056853466,0.87643024,0.038420092,0.024131354,0.041444626,0.934334873,0.099675827,0.060450628,0.108624168,0.54892243,0.075616896,0.045814604,0.084338494,0.728074462,0.069318354,0.042181145,0.07683593,0.774302361,0.107867895,0.139513981,0.129833687,0.35557396,0.123745963,0.079302721,0.167994291,-0.078915267,0.039280564,0.025077505,0.048625864,0.909607394
3,0.073919237,0.0453199,0.082593702,0.730329168,0.083950534,0.049726192,0.106457651,0.551983712,0.029294273,0.016901104,0.037326042,0.944923805,0.083505727,0.049882792,0.094333678,0.648218004,0.087759927,0.052637558,0.097804382,0.621856448,0.089737564,0.053707637,0.100618504,0.59978281,0.123043518,0.152590428,0.157756657,0.016180439,0.067687519,0.041848142,0.076369688,0.769441014,0.036381498,0.022132054,0.041447055,0.932090983
4,0.076092251,0.046905231,0.085160859,0.719169965,0.152585655,0.096479252,0.17149356,-0.138830715,0.28011933,0.167744473,0.295474797,-2.380682935,0.092530325,0.058553331,0.102507792,0.593109679,0.072449669,0.045194265,0.08238095,0.737204946,0.068439201,0.042507853,0.076430477,0.773797852,0.122678448,0.158527992,0.151896677,0.106570857,0.13082093,0.080407128,0.146545604,0.168410289,0.033979971,0.02120115,0.041767918,0.932446282
5,0.075852461,0.046571624,0.085139737,0.722237268,0.112477429,0.065524384,0.179038674,-0.228296062,0.052782085,0.030388698,0.069094621,0.817064575,0.081067577,0.049510092,0.094299078,0.659259133,0.06389235,0.038425602,0.077933371,0.76726795,0.068810351,0.038982701,0.09604501,0.646524789,0.124069008,0.148023648,0.153804639,0.093540927,0.148880467,0.096709669,0.175992459,-0.186854301,0.033508878,0.020138187,0.044299107,0.92480322
6,0.075183257,0.046144247,0.083973758,0.731493969,0.124135859,0.078937896,0.136466295,0.290883501,0.078788221,0.050169818,0.089323215,0.696194583,0.100521594,0.060804818,0.109750926,0.541348074,0.076789625,0.046374734,0.086022951,0.71822952,0.067608587,0.039911713,0.081157632,0.74920111,0.108634421,0.143712759,0.131466847,0.341888726,0.092038855,0.056576382,0.109203756,0.545909946,0.03833627,0.023617357,0.053096615,0.89265039
7,0.077254079,0.047845446,0.085364938,0.712505627,0.147467554,0.087880202,0.175466239,-0.214667622,0.138233781,0.081310354,0.169693798,-0.136062672,0.132925943,0.086489528,0.156466514,0.034142386,0.095534146,0.061382063,0.107423894,0.544726776,0.093045615,0.059758984,0.104286313,0.570933206,0.109672396,0.140992813,0.140017527,0.226544839,0.157099307,0.100152455,0.17660524,-0.230488149,0.03460918,0.02257728,0.042246882,0.929585887
8,0.074705012,0.046080302,0.08335311,0.732525035,0.11308597,0.068282738,0.116377555,0.478591744,0.105758131,0.061421484,0.124201536,0.406127166,0.088077821,0.055439822,0.102212906,0.597791807,0.068506598,0.042990241,0.076661475,0.773747317,0.06102635,0.037395332,0.069768734,0.812603651,0.127198676,0.151564197,0.159837183,0.016453024,0.127159089,0.075800218,0.164527327,-0.042114771,0.03505801,0.020066466,0.047641356,0.912620875
9,0.073792875,0.045270316,0.082837455,0.731015174,0.074814811,0.045954648,0.08827351,0.694553537,0.069215931,0.042417198,0.072230458,0.795489785,0.084156327,0.050061591,0.096705884,0.633410436,0.082277745,0.04943864,0.091932081,0.668709921,0.078870051,0.047403779,0.089537285,0.68574503,0.114685164,0.147522745,0.150157463,0.116171277,0.163763136,0.100443557,0.204338238,-0.636716903,0.03795328,0.023165202,0.044173066,0.92351269
